date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Jan 18-19, 2020",SCY,MT,2020 MT HOT Tropical Meet,20200118HotTrpY,https://www.usms.org/comp/meets/meet.php?MeetID=20200118HotTrpY,ef91bcdd-273b-4f8f-8dc9-6007d712a46d
"Jan 18-19, 2020",SCY,FG,2020 Winter Classic,20200119WTRCLCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200119WTRCLCY,80f5563b-cc0f-4a0b-a9e9-cac094aa516c
"Jan 18, 2020",SCY,SP,Fabulous Las Vegas Masters Short Course Yards Meet,20200118LVMSCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200118LVMSCY,4e44f176-f896-4644-b419-a7136290a75a
"Jan 18, 2020",SCM,PC,The Olympic Club 1500 Meter Swim Meet,20200118TOC,https://www.usms.org/comp/meets/meet.php?MeetID=20200118TOC-1SS,3f2d35fb-97ea-4297-a68e-6a22819d67ff
"Jan 18, 2020",SCY,NI,Nickel City Splash Winter White Out,20200118UB20WY,https://www.usms.org/comp/meets/meet.php?MeetID=20200118UB20WY,cb571907-3b3e-4058-97fe-e9f0c52827c9
"Jan 18, 2020",SCY,AD,2020 Mohonasen Happy New Year AD Masters SCY Swim Meet,20200118Moho20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200118Moho20Y,4eb86ff1-8eac-420d-a20f-f7b825e4e6eb
"Jan 18, 2020",SCY,ST,The Frostbite Invitational,20200118s003Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200118s003Y,f9f63c34-fa1f-4114-a8da-943a316ce324
"Jan 17-20, 2020",SCY,NC,2020 January Jump Start,20200120NCSGSAY,https://www.usms.org/comp/meets/meet.php?MeetID=20200120NCSGSAY,5a4396fc-2f73-4ec3-a4b3-b25379311b74
"Jan 17-19, 2020",SCY,OH,Bulldog Aquatics Winter Invitational,20200119BACWinY,https://www.usms.org/comp/meets/meet.php?MeetID=20200119BACWinY,8de3cf32-441e-46a2-82df-67a902c033e8
"Jan 17-19, 2020",SCY,SP,2020 CA Coastal Sr Q Qualifier,20200119COASTQY,https://www.usms.org/comp/meets/meet.php?MeetID=20200119COASTQY,4606a2d0-f36a-400f-8dab-06ebb887bc5f
"Jan 17-19, 2020",SCY,IN,2020 CSC Winter Invitational,20200119CSCWINY,https://www.usms.org/comp/meets/meet.php?MeetID=20200119CSCWINY,c6d96d1c-dfd1-4d27-9d5c-e4ba93d77e28
"Jan 12, 2020",SCY,VA,1st Annual Virginia Beach Sprint Invite,20200112VWUY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112VWUY,3a925688-8cf8-4095-af04-faaa41822c7a
"Jan 12, 2020",SCY,KY,2020 Barbara Stevens Memorial Masters Swim Meet,20200112WKGGY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112WKGGY,7f007020-933f-4d26-b4fb-e58d6304cb27
"Jan 12, 2020",SCY,MI,Eastern Michigan University Coldest Masters Swim Meet,20200112emu20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200112emu20Y,01cafa88-9aa2-4ec5-8665-a84966f7d97a
"Jan 12, 2020",SCY,MT,2020 WRSC Winter Classic,20200112WRSCWCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112WRSCWCY,fe4fee8e-5a17-468a-af63-5173e5b3d94a
