date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Feb 1, 2020",SCY,SP,Piranha Masters SCY Meet,20200201PSSCYY,https://www.usms.org/comp/meets/meet.php?MeetID=20200201PSSCYY,2dd6acd9-0f38-4d83-92b9-4508e28a7107
"Feb 1, 2020",SCY,NT,The Winter Sprinter - SCY - Texas Ford Aquatics Masters,20200201WTRSPTY,https://www.usms.org/comp/meets/meet.php?MeetID=20200201WTRSPTY,836f6047-aa07-4bfb-b7d3-3d790874a488
"Jan 26, 2020",SCY,LE,2020 Pieter Cath Memorial SCY Inter-Squad Swim Meet,20200126lkwdY,https://www.usms.org/comp/meets/meet.php?MeetID=20200126lkwdY,4d0ab37e-e3ac-43a8-bce1-eb8b3bffe280
"Jan 26, 2020",SCY,IL,Evanston Masters 2020 January Invite,20200126EJAN20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200126EJAN20Y,2edb82ce-2edc-4eb1-8469-ffeaf3041c44
"Jan 26, 2020",SCY,WI,2020 Oshkosh YMCA  Animal Award SCY Swim Meet,20200126OSHY,https://www.usms.org/comp/meets/meet.php?MeetID=20200126OSHY,f2f0fac8-3f8b-4446-aaf1-b931921abae4
"Jan 26, 2020",SCY,PV,2020 Tropical Splash Short Course Yards Swim Meet,20200126splashY,https://www.usms.org/comp/meets/meet.php?MeetID=20200126splashY,21f9dfc6-a22e-42af-b2b6-e1d17cb3e64e
"Jan 26, 2020",SCY,MN,Minnesota Masters Swimming Icebreaker SCY Meet,20200126ICEBRKY,https://www.usms.org/comp/meets/meet.php?MeetID=20200126ICEBRKY,20722f36-624f-4eae-8d47-fdaeed0b0107
"Jan 26, 2020",SCY,IL,Stephens Family YMCA Masters,20200126SFY20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200126SFY20Y,8b87f97e-1e14-4de4-a610-2d2904a3aeb0
"Jan 26, 2020",SCY,AZ,30th Polar Bear Classic,20200126PBearY,https://www.usms.org/comp/meets/meet.php?MeetID=20200126PBearY,dfbb527d-b9eb-4704-a906-b2da903041fe
"Jan 26, 2020",SCY,NE,Mount Desert Island YMCA 4th Annual Masters Meet,20200126MTDESYY,https://www.usms.org/comp/meets/meet.php?MeetID=20200126MTDESYY,e2338362-c1ca-4591-8e45-8a7e33241a45
"Jan 25, 2020",SCY,FL,Circus Town Classic Mini-Meet,20200125CIRCUSY,https://www.usms.org/comp/meets/meet.php?MeetID=20200125CIRCUSY,1cd4ad19-1df2-4b6d-b7b6-7f3a03dde54f
"Jan 25, 2020",SCY,MT,MT LMSC HS Format,20200125LMSCHSY,https://www.usms.org/comp/meets/meet.php?MeetID=20200125LMSCHSY,837d7701-2864-488d-9635-73c154d1bdca
"Jan 25, 2020",SCY,CO,41st Annual Polansky Sweetheart Meet,20200125PolmanY,https://www.usms.org/comp/meets/meet.php?MeetID=20200125PolmanY,25d514fa-bde0-4a75-ab2f-bf89ddec0ae1
"Jan 25, 2020",SCY,FG,2020 GCAT's Last Chance Meet,20200125GCATLCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200125GCATLCY,b2dbaec3-3b86-447e-92cb-057c6884e011
"Jan 24-26, 2020",SCY,GA,2020 Columbus Aquatic Club Groundhog Swim Meet,20200124GRDHOGY,https://www.usms.org/comp/meets/meet.php?MeetID=20200124GRDHOGY,2763e337-43a9-4f99-af75-15a4437177dd
"Jan 24-26, 2020",SCY,AR,Arkansas Senior State Championships 2020,20200126ASS20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200126ASS20Y,d42fd105-0e6c-4c33-b7c2-19bfae244f1a
"Jan 24-26, 2020",SCY,KY,2020 SKY Winter Fest,20200126SKYFSTY,https://www.usms.org/comp/meets/meet.php?MeetID=20200126SKYFSTY,82060d71-c5a3-4b4e-a805-39251367c577
"Jan 19, 2020",SCY,MD,2019-2020 Carol Chidester Memorial Swim Series Meet No 4,20200119AOSC4Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200119AOSC4Y,0c9cdacb-15fa-4765-985a-8c19faaea4a3
"Jan 19, 2020",SCY,IN,17th Annual New Year's Resolution Meet,20200119BallstY,https://www.usms.org/comp/meets/meet.php?MeetID=20200119BallstY,9a08b4f8-4af5-490d-863b-764dd00d5724
